date obs sim event_type event_count hydcase et eq
1989-09-20 0.410798944591029 0.58621497969267 0 0 -1 2.33333333333333 -0.218526043338421
1989-09-21 0.404073878627968 0.590676172849486 0 0 -1 3.16666666666667 -0.314743165863165
1989-09-22 0.374096042216359 0.588403566428897 0 0 -2 4 -0.410960288387909
1989-09-23 0.382530870712401 0.581613026470815 0 0 1 3.5 -0.35055544828257
1989-09-24 0.441004749340369 0.569265976942476 12 15 2 3 -0.290150608177232
1989-09-25 0.393359366754617 0.556118920636544 0 0 -1 2.6363636363634 -0.371222145505126
1989-09-26 0.369194722955145 0.535773533517048 0 0 -1 2.27272727272709 -0.415684054171496
1989-09-27 0.364407387862797 0.517519978692981 0 0 -1 1.90909090909118 -0.41133312462253
1989-09-28 0.353122955145119 0.498707353354061 0 0 -1 1.54545454545467 -0.39174336313472
1989-09-29 0.346283905013193 0.480659089426222 0 0 -1 1.18181818181816 -0.368754425214746
1989-09-30 0.344460158311346 0.462037195447281 0 0 -1 0.818181818181845 -0.34361705952222
1989-10-01 0.31015092348285 0.443551339870617 0 0 -1 0.454545454545327 -0.333793968365053
1989-10-02 0.307985224274406 0.42515620815177 0 0 -1 0.0909090909088241 -0.323461311174281
1989-10-03 0.308783113456464 0.407081839539175 0 0 -1 -0.272727272727092 -0.273316998897085
1989-10-04 0.29841055408971 0.389507589287487 0 0 -1 -0.6363636363634 -0.230792843318235
1989-10-05 0.297612664907652 0.372918731087924 0 0 -2 -1 -0.193983805263146
1989-10-06 0.341952506596306 0.36154568765854 0 0 1 -1 -0.119015849999895
1989-10-07 0.349475461741425 0.362936667704648 0 0 1 -1 0.194989264290765
1989-10-08 0.991092348284961 0.387260498884976 11 12 2 -1 0.748031537608833
1989-10-09 0.873118733509235 0.451529156921414 11 12 -1 -0.166666666666667 0.620771902880685
1989-10-10 0.654953034300792 0.437925124723704 11 12 -1 0.666666666666667 0.493512268152536
1989-10-11 0.644124538258575 0.48226800189628 11 12 -1 1.5 0.366252633424388
1989-10-12 0.533559894459103 0.517475916325768 11 12 -1 2.33333333333333 0.26411695922717
1989-10-13 0.504265963060686 0.555085960981646 11 12 -1 3.16666666666667 0.161981285029951
1989-10-14 0.464941424802111 0.606090225710735 11 12 -0 4 0.0598456108327326
1989-10-15 0.583598944591029 0.657218093089226 11 12 2 -2 -0.184487803567893
1989-10-16 0.541196833773087 0.695535222351012 11 12 -1 -1.84615384615386 -0.289261312866948
1989-10-17 0.463687598944591 0.702206671560563 11 12 -1 -1.69230769230774 -0.383788003978073
1989-10-18 0.411482849604222 0.701563026013636 11 12 -1 -1.53846153846164 -0.416833785961709
1989-10-19 0.437927176781003 0.693250152191248 11 12 -1 -1.38461538461553 -0.436241052922807
1989-10-20 0.420145646437995 0.676753176293889 11 12 -1 -1.23076923076939 -0.42155203232755
1989-10-21 0.41501635883905 0.6536678311541 11 12 -1 -1.07692307692317 -0.416284049026179
1989-10-22 0.40054036939314 0.626792180585971 0 0 -1 -0.923076923076829 -0.423577448783316
1989-10-23 0.353806860158311 0.595990224191581 0 0 -1 -0.769230769230605 -0.423048779229898
1989-10-24 0.356656464379947 0.564221411894914 0 0 -1 -0.61538461538447 -0.41665355769356
1989-10-25 0.342750395778364 0.532780074231805 0 0 -1 -0.461538461538362 -0.39641131361817
1989-10-26 0.340014775725594 0.502363866214793 0 0 -1 -0.307692307692265 -0.370630260527162
1989-10-27 0.337393139841689 0.478822507711689 0 0 -1 -0.153846153846135 -0.364649207120672
1989-10-28 0.327476517150396 0.47220638982709 0 0 -2 0 -0.361968153661608
1989-10-29 0.572200527704485 0.491569268513639 15 29 1 0 0.131550858953967
1989-10-30 0.866393667546174 0.549583486632521 15 29 1 0 0.393955266422992
1989-10-31 0.949830079155673 0.569554246556217 15 29 1 0 0.40644259016628
1989-11-01 0.696329287598945 0.572304605173213 15 29 1 0 0.236409062090037
1989-11-02 0.606509762532982 0.604604787509442 0 0 1 0 0.0215154327029098
1989-11-03 0.635233773087071 0.713469227830879 0 0 1 0 -0.0566884025324253
1989-11-04 1.09949129287599 0.908326882817956 15 28 2 0 0.190420041388422
1989-11-05 1.04990817941953 0.901724042274948 15 28 -1 0 0.171618996040689
1989-11-06 1.08102585751979 0.9158805989631 15 28 -1 0 0.126042260223087
1989-11-07 0.993486015831134 0.948091991956874 15 28 -1 0 0.0388144503412325
1989-11-08 0.898651187335093 0.974101675031988 15 28 -1 0 -0.0496169020424682
1989-11-09 0.865139841688654 0.98737041624058 15 28 -1 0 -0.137858275020316
1989-11-10 0.791164116094987 0.989441248185021 15 28 -1 0 -0.223609238352651
1989-11-11 0.705448021108179 0.967928218039806 15 28 -1 0 -0.303763828789866
1989-11-12 0.634549868073879 0.933920219034474 15 28 -1 0 -0.379613517000068
1989-11-13 0.586220580474934 0.888934235490353 15 28 -1 0 -0.37842363695522
1989-11-14 0.583940897097625 0.836799517520845 15 28 -1 0 -0.372006957925028
