"ID" "XGAUGE" "YGAUGE" "XCENT" "YCENT" "AREA" "River" "Station" "ME_MAX" "igroup.best" "TRAIN"
"263" 24623003 4001442.48368739 2533008.96928172 4332834.7701 2937889.03707 160 "Gollach" "BIEBEREHREN" -1.05972240612887 1 FALSE
"100" 663090 4334489.02396466 2710553.88001017 4657518.31756 3112874.52519 162 "Pließnitz" "TAUCHRIT" 0.469925344177175 1 FALSE
"317" 26960600 3807163.52460473 2617649.52375127 4113075.18664 3023219.00624 163.3 NA "LOHBRUECKE" 0.232059381366995 1 TRUE
"18" 1139 3881140.04841396 2370444.74278798 4190993.18141 2769476.93542 164 "Breg" "HAMMEREISENBACH" 0.713534312869803 1 TRUE
"288" 25490400 3850995.3054995 2575168.72371249 4158109.91607 2986293.43525 167.7 "Neddersheim" "HEDDESHEIM" 0.637653880552434 1 FALSE
"314" 26760306 3787461.48572658 2570904.78390781 4110219.48282 2969744.84656 169.6 "Dhron" "PAPIERMUEHLE" 0.7173544335199 1 FALSE
"290" 25650156 3851151.7039394 2592925.61808405 4174332.20419 3001453.35803 170.4 "Alzette" "PFAFFENTAL" 0.144005694036035 1 FALSE
"153" 6340670 4155309.83776872 2622404.39465573 4483854.53385 3021210.52716 170.46 "Weiße Elster" "ADOLF" 0.309594307135855 1 FALSE
"286" 25480202 3847381.73844174 2545232.86202741 4165119.30367 2939809.04074 170.5 "Alsenz" "IMSWEILER" -0.0483461276451373 1 FALSE
"289" 25490614 3854870.72064957 2572315.6257266 4170704.28772 2962232.39902 171 "Appelbach" "PLANIG" 0.481431094771637 1 FALSE
"147" 6338260 3981398.69509988 2949954.1177789 4305372.36735 3357420.80001 171.01 "Este" "Emmen" 0.313607817182239 1 FALSE
"294" 25811255 3914818.19847588 2681473.72871667 4228455.19094 3094016.8134 173.6 "Wetschaft" "NIEDERWETTER" 0.826278587494441 1 TRUE
"81" 574200 4063588.41081907 2672525.53600587 4379643.62563 3069434.104 175 "Gera" "ARNSTADT" 0.741700423507516 1 FALSE
"311" 26600300 3766365.72894087 2626326.32273534 4070714.82664 3033832.5844 175.6 "Kyll" "JUENKERATH" -0.0844233707977767 1 FALSE
"315" 26840507 3798054.23900142 2596289.97689603 4105745.30939 3008835.32476 175.8 "Alf" "PELTZERHAUS" 0.0317999289065022 1 FALSE
"321" 27160600 3832710.97424504 2655121.49190698 4155674.59157 3055483.38284 176.2 "Holzbach" "SEIFEN" 0.743238815918229 1 TRUE
"23" 1411 4009775.34544007 2470390.25516739 4336827.39025 2868696.49107 178 "Jagst" "SCHWABSBERG" 0.336393001916088 1 FALSE
"32" 114116 3994005.39149814 3005746.51365849 4323513.2093 3418497.73269 180 "Schmalfelde Au" "BAD BRAMSTEDT SCHMALFELDE" -1.20887663766926 1 FALSE
"14" 436 3962352.43767047 2476704.19323152 4286986.85889 2877054.02397 181 "Murr" "OPPENWEILER" 0.777597334679139 1 FALSE
"219" 18199008 4154669.9296136 2358003.39964574 4488078.54025 2750032.54388 181.62 "Sims" "Stephanskirchen" 0.147709225994877 1 FALSE
"363" 41450056 4000339.3325318 2655437.22086213 4320887.13314 3050151.41533 182 "Ulster" "GUENTHERS" 0.686907103675235 1 FALSE
"370" 42360550 3971857.05591705 2648387.10344771 4282154.60989 3045447.31868 182 "Lüter" "LUETTER" 0.606190702455444 1 FALSE
"91" 579610 4085616.76747356 2767575.86451234 4395577.16594 3171479.74136 184 "Selke" "MEISDORF" 0.504595916054414 1 FALSE
"271" 24841206 3915810.72588575 2621480.53366456 4222061.17741 3027655.99481 184 "Usa" "FRIEDBERG" 0.754117831963115 1 TRUE
"338" 27661990 3871548.67199001 2706019.760565 4202463.11896 3116374.41643 187 "Lenne" "KICKENBACH" 0.472884416843485 1 FALSE
"313" 26740604 3778623.70441526 2584150.97531407 4086562.18419 2995492.74487 192.1 NA "DREIS" 0.605350989680606 1 FALSE
"333" 27467900 3773878.6776086 2683004.80347797 4080731.80175 3076110.98002 194.2 "Neffelbach" "LANGENICH" 0.338284214041392 1 FALSE
