"date" "event_type" "event_count" "Qduration" "t2pd" "peak" "temp.cv" "Pmax.vol.ratio" "space_cv" "mean_RM_ant" "ant_sm" "space_cv_sm" "cov_SM_RM_ts_mean" "snow.cover.cov" "volumeP" "volumeR" "volumeM" "frozen.cover.cov"
"5223" 1994-01-17 3 70 24 3 9.03780474934037 0.851260116968293 0.317862023645735 0.378155977440645 0.0811790001396783 1 0.011860935179442 0.00118879922409091 0.354100666494047 95.5195983321904 70.0649911087623 25.4546072234281 0
"5224" 1994-01-18 3 70 24 3 9.03780474934037 0.851260116968293 0.317862023645735 0.378155977440645 0.0811790001396783 1 0.011860935179442 0.00118879922409091 0.354100666494047 95.5195983321904 70.0649911087623 25.4546072234281 0
"5225" 1994-01-19 3 70 24 3 9.03780474934037 0.851260116968293 0.317862023645735 0.378155977440645 0.0811790001396783 1 0.011860935179442 0.00118879922409091 0.354100666494047 95.5195983321904 70.0649911087623 25.4546072234281 0
"5226" 1994-01-20 3 70 24 3 9.03780474934037 0.851260116968293 0.317862023645735 0.378155977440645 0.0811790001396783 1 0.011860935179442 0.00118879922409091 0.354100666494047 95.5195983321904 70.0649911087623 25.4546072234281 0
"5227" 1994-01-21 3 70 24 3 9.03780474934037 0.851260116968293 0.317862023645735 0.378155977440645 0.0811790001396783 1 0.011860935179442 0.00118879922409091 0.354100666494047 95.5195983321904 70.0649911087623 25.4546072234281 0
"5228" 1994-01-22 3 70 24 3 9.03780474934037 0.851260116968293 0.317862023645735 0.378155977440645 0.0811790001396783 1 0.011860935179442 0.00118879922409091 0.354100666494047 95.5195983321904 70.0649911087623 25.4546072234281 0
"5229" 1994-01-23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5230" 1994-01-24 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5231" 1994-01-25 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5232" 1994-01-26 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5233" 1994-01-27 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5234" 1994-01-28 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5235" 1994-01-29 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5236" 1994-01-30 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5237" 1994-01-31 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5238" 1994-02-01 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5239" 1994-02-02 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5240" 1994-02-03 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5241" 1994-02-04 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5242" 1994-02-05 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5243" 1994-02-06 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5244" 1994-02-07 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5245" 1994-02-08 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5246" 1994-02-09 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5247" 1994-02-10 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5248" 1994-02-11 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5249" 1994-02-12 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5250" 1994-02-13 3 71 21 3 5.96080211081794 0.460275558421973 0.310290176148596 0.325034313279579 0.480186211633773 1 0.00849278594509509 0.00219544515390394 0.958886128245626 55.6345694926123 50.3447611660521 5.28980832656015 0
"5251" 1994-02-14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5252" 1994-02-15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5253" 1994-02-16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5254" 1994-02-17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5255" 1994-02-18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5256" 1994-02-19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5257" 1994-02-20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5258" 1994-02-21 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5259" 1994-02-22 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5260" 1994-02-23 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5261" 1994-02-24 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5262" 1994-02-25 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5263" 1994-02-26 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5264" 1994-02-27 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
"5265" 1994-02-28 3 72 22 12 4.282727176781 0.623811227769631 0.156950319176206 0.585125193230612 0.396875459582937 1 0.00785708256656591 0.00239121464555721 1.3077753352607 68.7493765436661 52.2909638771864 16.4584126664796 0
